School,CW,CL,W,L,PF,PA,HOME,AWAY,STREAK,Conference
Cincinnati,8,0,13,1,516,236,Jul-00,1-Jun,Lost 1,AAC
Houston,8,0,12,2,508,286,1-May,1-Jul,Won 1,AAC
UCF,5,3,9,4,478,333,Aug-00,4-Feb,Won 3,AAC
East Carolina,5,3,7,5,356,315,2-Apr,3-Mar,Lost 1,AAC
Tulsa,5,3,7,6,343,346,3-Apr,3-Mar,Won 4,AAC
SMU,4,4,8,4,461,341,1-May,3-Mar,Lost 2,AAC
Memphis,3,5,6,6,361,351,2-May,4-Jan,Won 1,AAC
Navy,3,5,4,8,241,339,5-Feb,3-Feb,Won 2,AAC
Temple,1,7,3,9,196,450,4-Feb,5-Jan,Lost 7,AAC
Tulane,1,7,2,10,331,408,4-Feb,0-6,Lost 1,AAC
South Fla.,1,7,2,10,278,422,4-Feb,0-6,Lost 5,AAC
Pittsburgh,8,1,11,3,580,331,2-May,1-Jun,Lost 1,ACC
Wake Forest,7,2,11,3,574,404,1-Jun,2-May,Won 1,ACC
Clemson,6,2,10,3,342,193,1-Jun,2-Apr,Won 6,ACC
NC State,6,2,9,3,397,236,Jul-00,3-Feb,Won 2,ACC
Miami (FL),5,3,7,5,409,341,3-May,2-Feb,Won 2,ACC
Virginia,4,4,6,6,415,382,3-Apr,3-Feb,Lost 4,ACC
Louisville,4,4,6,7,411,355,4-Apr,3-Feb,Lost 2,ACC
Virginia Tech,4,4,6,7,308,329,4-Apr,3-Feb,Lost 1,ACC
Florida St.,4,4,5,7,331,318,4-Mar,3-Feb,Lost 1,ACC
North Carolina,3,5,6,7,458,417,1-Jun,0-6,Lost 2,ACC
Boston College,2,6,6,6,296,266,3-Mar,3-Mar,Lost 2,ACC
Syracuse,2,6,5,7,299,316,4-Mar,3-Feb,Lost 3,ACC
Georgia Tech,2,6,3,9,288,402,5-Feb,4-Jan,Lost 6,ACC
Duke,0,8,3,9,274,477,4-Mar,0-5,Lost 8,ACC
Oklahoma St.,8,1,12,2,435,253,1-Jul,1-May,Won 1,Big 12
Baylor,7,2,12,2,443,256,Jul-00,2-May,Won 5,Big 12
Oklahoma,7,2,11,2,508,335,Aug-00,2-Mar,Won 1,Big 12
Iowa St.,5,4,7,6,407,267,2-May,4-Feb,Lost 1,Big 12
Kansas St.,4,5,8,5,358,273,3-Jun,2-Feb,Won 1,Big 12
West Virginia,4,5,6,7,328,310,2-Apr,5-Feb,Lost 1,Big 12
Texas Tech,3,6,7,6,394,392,3-Mar,3-Apr,Won 1,Big 12
Texas,3,6,5,7,423,373,3-Apr,4-Jan,Won 1,Big 12
TCU,3,6,5,7,344,419,3-Apr,4-Jan,Lost 1,Big 12
Kansas,1,8,2,10,249,506,5-Jan,5-Jan,Lost 2,Big 12
Michigan,8,1,12,2,501,243,1-Jul,1-May,Lost 1,Big Ten
Ohio St.,8,1,11,2,594,296,1-Jul,1-Apr,Won 1,Big Ten
Michigan St.,7,2,11,2,414,329,Jul-00,2-Apr,Won 2,Big Ten
Iowa,7,2,10,4,328,269,2-Jun,2-Apr,Lost 2,Big Ten
Purdue,6,3,9,4,378,291,2-May,2-Apr,Won 3,Big Ten
Minnesota,6,3,9,4,331,225,3-May,1-Apr,Won 3,Big Ten
Wisconsin,6,3,9,4,330,210,3-May,1-Apr,Won 1,Big Ten
Penn St.,4,5,7,6,325,225,2-May,4-Feb,Lost 2,Big Ten
Illinois,4,5,5,7,242,263,4-Mar,3-Feb,Won 1,Big Ten
Maryland,3,6,7,6,381,399,3-Apr,3-Mar,Won 2,Big Ten
Rutgers,2,7,5,8,256,333,5-Feb,3-Mar,Lost 3,Big Ten
Nebraska,1,8,3,9,335,272,4-Mar,0-5,Lost 6,Big Ten
Northwestern,1,8,3,9,199,348,4-Mar,0-5,Lost 6,Big Ten
Indiana,0,9,2,10,207,399,5-Jan,5-Jan,Lost 8,Big Ten
UTSA,7,1,12,2,516,345,Jul-00,2-May,Lost 1,C-USA
